"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Supervivencia","Clase"
"1",0,3,"male",22,1,0,7.25,"S","NO","tercera"
"2",1,1,"female",38,1,0,71.2833,"C","SI","primera"
"3",1,3,"female",26,0,0,7.925,"S","SI","tercera"
"4",1,1,"female",35,1,0,53.1,"S","SI","primera"
"5",0,3,"male",35,0,0,8.05,"S","NO","tercera"
"6",0,3,"male",21,0,0,8.4583,"Q","NO","tercera"
"7",0,1,"male",54,0,0,51.8625,"S","NO","primera"
"8",0,3,"male",2,3,1,21.075,"S","NO","tercera"
"9",1,3,"female",27,0,2,11.1333,"S","SI","tercera"
"10",1,2,"female",14,1,0,30.0708,"C","SI","segunda"
"11",1,3,"female",4,1,1,16.7,"S","SI","tercera"
"12",1,1,"female",58,0,0,26.55,"S","SI","primera"
"13",0,3,"male",20,0,0,8.05,"S","NO","tercera"
"14",0,3,"male",39,1,5,31.275,"S","NO","tercera"
"15",0,3,"female",14,0,0,7.8542,"S","NO","tercera"
"16",1,2,"female",55,0,0,16,"S","SI","segunda"
"17",0,3,"male",2,4,1,29.125,"Q","NO","tercera"
"18",1,2,"male",30,0,0,13,"S","SI","segunda"
"19",0,3,"female",31,1,0,18,"S","NO","tercera"
"20",1,3,"female",18,0,0,7.225,"C","SI","tercera"
"21",0,2,"male",35,0,0,26,"S","NO","segunda"
"22",1,2,"male",34,0,0,13,"S","SI","segunda"
"23",1,3,"female",15,0,0,8.0292,"Q","SI","tercera"
"24",1,1,"male",28,0,0,35.5,"S","SI","primera"
"25",0,3,"female",8,3,1,21.075,"S","NO","tercera"
"26",1,3,"female",38,1,5,31.3875,"S","SI","tercera"
"27",0,3,"male",30,0,0,7.225,"C","NO","tercera"
"28",0,1,"male",19,3,2,263,"S","NO","primera"
"29",1,3,"female",26,0,0,7.8792,"Q","SI","tercera"
"30",0,3,"male",33,0,0,7.8958,"S","NO","tercera"
"31",0,1,"male",40,0,0,27.7208,"C","NO","primera"
"32",1,1,"female",23,1,0,146.5208,"C","SI","primera"
"33",1,3,"female",22,0,0,7.75,"Q","SI","tercera"
"34",0,2,"male",66,0,0,10.5,"S","NO","segunda"
"35",0,1,"male",28,1,0,82.1708,"C","NO","primera"
"36",0,1,"male",42,1,0,52,"S","NO","primera"
"37",1,3,"male",23.5,0,0,7.2292,"C","SI","tercera"
"38",0,3,"male",21,0,0,8.05,"S","NO","tercera"
"39",0,3,"female",18,2,0,18,"S","NO","tercera"
"40",1,3,"female",14,1,0,11.2417,"C","SI","tercera"
"41",0,3,"female",40,1,0,9.475,"S","NO","tercera"
"42",0,2,"female",27,1,0,21,"S","NO","segunda"
"43",0,3,"male",33,0,0,7.8958,"C","NO","tercera"
"44",1,2,"female",3,1,2,41.5792,"C","SI","segunda"
"45",1,3,"female",19,0,0,7.8792,"Q","SI","tercera"
"46",0,3,"male",24,0,0,8.05,"S","NO","tercera"
"47",0,3,"male",30,1,0,15.5,"Q","NO","tercera"
"48",1,3,"female",22,0,0,7.75,"Q","SI","tercera"
"49",0,3,"male",26,2,0,21.6792,"C","NO","tercera"
"50",0,3,"female",18,1,0,17.8,"S","NO","tercera"
"51",0,3,"male",7,4,1,39.6875,"S","NO","tercera"
"52",0,3,"male",21,0,0,7.8,"S","NO","tercera"
"53",1,1,"female",49,1,0,76.7292,"C","SI","primera"
"54",1,2,"female",29,1,0,26,"S","SI","segunda"
"55",0,1,"male",65,0,1,61.9792,"C","NO","primera"
"56",1,1,"male",47,0,0,35.5,"S","SI","primera"
"57",1,2,"female",21,0,0,10.5,"S","SI","segunda"
"58",0,3,"male",28.5,0,0,7.2292,"C","NO","tercera"
"59",1,2,"female",5,1,2,27.75,"S","SI","segunda"
"60",0,3,"male",11,5,2,46.9,"S","NO","tercera"
"61",0,3,"male",22,0,0,7.2292,"C","NO","tercera"
"62",1,1,"female",38,0,0,80,"U","SI","primera"
"63",0,1,"male",45,1,0,83.475,"S","NO","primera"
"64",0,3,"male",4,3,2,27.9,"S","NO","tercera"
"65",0,1,"male",45,0,0,27.7208,"C","NO","primera"
"66",1,3,"male",20,1,1,15.2458,"C","SI","tercera"
"67",1,2,"female",29,0,0,10.5,"S","SI","segunda"
"68",0,3,"male",19,0,0,8.1583,"S","NO","tercera"
"69",1,3,"female",17,4,2,7.925,"S","SI","tercera"
"70",0,3,"male",26,2,0,8.6625,"S","NO","tercera"
"71",0,2,"male",32,0,0,10.5,"S","NO","segunda"
"72",0,3,"female",16,5,2,46.9,"S","NO","tercera"
"73",0,2,"male",21,0,0,73.5,"S","NO","segunda"
"74",0,3,"male",26,1,0,14.4542,"C","NO","tercera"
"75",1,3,"male",32,0,0,56.4958,"S","SI","tercera"
"76",0,3,"male",25,0,0,7.65,"S","NO","tercera"
"77",0,3,"male",33,0,0,7.8958,"S","NO","tercera"
"78",0,3,"male",24,0,0,8.05,"S","NO","tercera"
"79",1,2,"male",0.83,0,2,29,"S","SI","segunda"
"80",1,3,"female",30,0,0,12.475,"S","SI","tercera"
"81",0,3,"male",22,0,0,9,"S","NO","tercera"
"82",1,3,"male",29,0,0,9.5,"S","SI","tercera"
"83",1,3,"female",22,0,0,7.7875,"Q","SI","tercera"
"84",0,1,"male",28,0,0,47.1,"S","NO","primera"
"85",1,2,"female",17,0,0,10.5,"S","SI","segunda"
"86",1,3,"female",33,3,0,15.85,"S","SI","tercera"
"87",0,3,"male",16,1,3,34.375,"S","NO","tercera"
"88",0,3,"male",24,0,0,8.05,"S","NO","tercera"
"89",1,1,"female",23,3,2,263,"S","SI","primera"
"90",0,3,"male",24,0,0,8.05,"S","NO","tercera"
"91",0,3,"male",29,0,0,8.05,"S","NO","tercera"
"92",0,3,"male",20,0,0,7.8542,"S","NO","tercera"
"93",0,1,"male",46,1,0,61.175,"S","NO","primera"
"94",0,3,"male",26,1,2,20.575,"S","NO","tercera"
"95",0,3,"male",59,0,0,7.25,"S","NO","tercera"
"96",0,3,"male",24,0,0,8.05,"S","NO","tercera"
"97",0,1,"male",71,0,0,34.6542,"C","NO","primera"
"98",1,1,"male",23,0,1,63.3583,"C","SI","primera"
"99",1,2,"female",34,0,1,23,"S","SI","segunda"
"100",0,2,"male",34,1,0,26,"S","NO","segunda"
"101",0,3,"female",28,0,0,7.8958,"S","NO","tercera"
"102",0,3,"male",33,0,0,7.8958,"S","NO","tercera"
"103",0,1,"male",21,0,1,77.2875,"S","NO","primera"
"104",0,3,"male",33,0,0,8.6542,"S","NO","tercera"
"105",0,3,"male",37,2,0,7.925,"S","NO","tercera"
"106",0,3,"male",28,0,0,7.8958,"S","NO","tercera"
"107",1,3,"female",21,0,0,7.65,"S","SI","tercera"
"108",1,3,"male",21,0,0,7.775,"S","SI","tercera"
"109",0,3,"male",38,0,0,7.8958,"S","NO","tercera"
"110",1,3,"female",26,1,0,24.15,"Q","SI","tercera"
"111",0,1,"male",47,0,0,52,"S","NO","primera"
"112",0,3,"female",14.5,1,0,14.4542,"C","NO","tercera"
"113",0,3,"male",22,0,0,8.05,"S","NO","tercera"
"114",0,3,"female",20,1,0,9.825,"S","NO","tercera"
"115",0,3,"female",17,0,0,14.4583,"C","NO","tercera"
"116",0,3,"male",21,0,0,7.925,"S","NO","tercera"
"117",0,3,"male",70.5,0,0,7.75,"Q","NO","tercera"
"118",0,2,"male",29,1,0,21,"S","NO","segunda"
"119",0,1,"male",24,0,1,247.5208,"C","NO","primera"
"120",0,3,"female",2,4,2,31.275,"S","NO","tercera"
"121",0,2,"male",21,2,0,73.5,"S","NO","segunda"
"122",0,3,"male",24,0,0,8.05,"S","NO","tercera"
"123",0,2,"male",32.5,1,0,30.0708,"C","NO","segunda"
"124",1,2,"female",32.5,0,0,13,"S","SI","segunda"
"125",0,1,"male",54,0,1,77.2875,"S","NO","primera"
"126",1,3,"male",12,1,0,11.2417,"C","SI","tercera"
"127",0,3,"male",51,0,0,7.75,"Q","NO","tercera"
"128",1,3,"male",24,0,0,7.1417,"S","SI","tercera"
"129",1,3,"female",31,1,1,22.3583,"C","SI","tercera"
"130",0,3,"male",45,0,0,6.975,"S","NO","tercera"
"131",0,3,"male",33,0,0,7.8958,"C","NO","tercera"
"132",0,3,"male",20,0,0,7.05,"S","NO","tercera"
"133",0,3,"female",47,1,0,14.5,"S","NO","tercera"
"134",1,2,"female",29,1,0,26,"S","SI","segunda"
"135",0,2,"male",25,0,0,13,"S","NO","segunda"
"136",0,2,"male",23,0,0,15.0458,"C","NO","segunda"
"137",1,1,"female",19,0,2,26.2833,"S","SI","primera"
"138",0,1,"male",37,1,0,53.1,"S","NO","primera"
"139",0,3,"male",16,0,0,9.2167,"S","NO","tercera"
"140",0,1,"male",24,0,0,79.2,"C","NO","primera"
"141",0,3,"female",27,0,2,15.2458,"C","NO","tercera"
"142",1,3,"female",22,0,0,7.75,"S","SI","tercera"
"143",1,3,"female",24,1,0,15.85,"S","SI","tercera"
"144",0,3,"male",19,0,0,6.75,"Q","NO","tercera"
"145",0,2,"male",18,0,0,11.5,"S","NO","segunda"
"146",0,2,"male",19,1,1,36.75,"S","NO","segunda"
"147",1,3,"male",27,0,0,7.7958,"S","SI","tercera"
"148",0,3,"female",9,2,2,34.375,"S","NO","tercera"
"149",0,2,"male",36.5,0,2,26,"S","NO","segunda"
"150",0,2,"male",42,0,0,13,"S","NO","segunda"
"151",0,2,"male",51,0,0,12.525,"S","NO","segunda"
"152",1,1,"female",22,1,0,66.6,"S","SI","primera"
"153",0,3,"male",55.5,0,0,8.05,"S","NO","tercera"
"154",0,3,"male",40.5,0,2,14.5,"S","NO","tercera"
"155",0,3,"male",22,0,0,7.3125,"S","NO","tercera"
"156",0,1,"male",51,0,1,61.3792,"C","NO","primera"
"157",1,3,"female",16,0,0,7.7333,"Q","SI","tercera"
"158",0,3,"male",30,0,0,8.05,"S","NO","tercera"
"159",0,3,"male",33,0,0,8.6625,"S","NO","tercera"
"160",0,3,"male",9,8,2,69.55,"S","NO","tercera"
"161",0,3,"male",44,0,1,16.1,"S","NO","tercera"
"162",1,2,"female",40,0,0,15.75,"S","SI","segunda"
"163",0,3,"male",26,0,0,7.775,"S","NO","tercera"
"164",0,3,"male",17,0,0,8.6625,"S","NO","tercera"
"165",0,3,"male",1,4,1,39.6875,"S","NO","tercera"
"166",1,3,"male",9,0,2,20.525,"S","SI","tercera"
"167",1,1,"female",22,0,1,55,"S","SI","primera"
"168",0,3,"female",45,1,4,27.9,"S","NO","tercera"
"169",0,1,"male",42,0,0,25.925,"S","NO","primera"
"170",0,3,"male",28,0,0,56.4958,"S","NO","tercera"
"171",0,1,"male",61,0,0,33.5,"S","NO","primera"
"172",0,3,"male",4,4,1,29.125,"Q","NO","tercera"
"173",1,3,"female",1,1,1,11.1333,"S","SI","tercera"
"174",0,3,"male",21,0,0,7.925,"S","NO","tercera"
